URL,title,country,dynastic period,time period,image
http://www.mfa.org/collections/object/tsuba-with-design-of-spider-chrysanthemums-11353,Tsuba with design of (?) spider chrysanthemums,Japanese,Edo period,Early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC50520.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-wasps-and-fruiting-branches-11358,Tsuba with design of wasps and fruiting branches,Japanese,Edo period,Late 18th century,['http://mfas3.s3.amazonaws.com/objects/SC50525.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-ho-o-bird-and-paulownia-11369,Tsuba with design of ho-o bird and paulownia,Japanese,Edo period,Early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC50536.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-landscape-with-bridge-and-boats-11378,Tsuba with design of landscape with bridge and boats,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50549.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-landscape-with-mountain-and-sailboats-11384,Tsuba with design of landscape with mountain and sailboats,Japanese,Edo period,Late 18th–early 19th century (?),['http://mfas3.s3.amazonaws.com/objects/SC50555.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-two-water-buffaloes-11385,Tsuba with design of two water-buffaloes,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50556.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-temple-buildings-in-a-landscape-11386,Tsuba with design of temple buildings in a landscape,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50557.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-eagle-crag-and-waves-11404,"Tsuba with design of eagle, crag and waves",Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50576.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-eagle-crag-and-waves-11405,"Tsuba with design of eagle, crag and waves",Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50577.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shishi-crag-and-waterfall-11410,"Tsuba with design of shishi, crag and waterfall",Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50582.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-kirin-and-pine-trees-11414,Tsuba with design of kirin and pine trees,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50586.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-ho-o-birds-and-paulownias-11415,Tsuba with design of ho-o birds and paulownias,Japanese,Edo period,mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50587.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-dragon-clouds-and-lightning-11418,"Tsuba with design of dragon, clouds and lightning",Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50590.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-deer-and-autumn-plants-11420,Tsuba with design of deer and autumn plants,Japanese,Edo period,mid-18th century,['http://mfas3.s3.amazonaws.com/objects/SC50592.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-waves-and-paulownia-mon-11421,Tsuba with design of waves and paulownia mon,Japanese,Edo period,18th century,['http://mfas3.s3.amazonaws.com/objects/SC50593.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-shishi-clouds-and-dragon-11422,"Tsuba with design of shishi, clouds and dragon",Japanese,Edo period,Late 17th–early 18th century,['http://mfas3.s3.amazonaws.com/objects/SC50594.jpg']
http://www.mfa.org/collections/object/tsuba-with-design-of-cranes-tree-and-stream-11424,"Tsuba with design of cranes, tree and stream",Japanese,Edo period,Late 18th–early 19th century,['http://mfas3.s3.amazonaws.com/objects/SC50643.jpg']
http://www.mfa.org/collections/object/tsuba-for-a-tachi-with-design-of-paulownia-crests-11425,Tsuba for a tachi with design of paulownia crests,Japanese,Edo period,early to mid-19th century,['http://mfas3.s3.amazonaws.com/objects/SC50644.jpg']
